title,price,area,location,property_type,publisher,details,main_image,carousel_images
Oficina en arriendo,"$ 3,359,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/0ea18d5a-0191-4f3c-90f7-a81385fefb58/photos/0ea18d5a-0191-4f3c-90f7-a81385fefb58_2_False_6bfe4909-8fbc-4534-849a-3f0438973fba.jpg,[]
Local en  Arriendo,"$ 6,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,4 Baños182 m²,https://cdn2.infocasas.com.uy/repo/img/6708387e90b40_infocdn__fb73fb87-a9d4-4207-b8a5-5fe387075acb,[]
Bodega en  Arriendo,"$ 12,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,2 Baños410 m²,https://cdn2.infocasas.com.uy/repo/img/66c6573d43f7d_infocdn__oqbzqoqmyjsumigw91y5jkedbwrtfxnvfljf5wj5jpg,[]
Oficina en arriendo,"$ 3,399,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/4ab559d9-99ad-49a2-a495-03240301acdc/photos/4ab559d9-99ad-49a2-a495-03240301acdc_2_False_6992e979-4255-412e-9bed-5696f510e3b9.jpg,[]
Oficina en arriendo,"$ 2,649,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/97a4b528-489b-4552-81c9-7058019aeabc/photos/97a4b528-489b-4552-81c9-7058019aeabc_2_False_156cb2ac-5f8f-4028-987f-09741f59b40c.jpg,[]
Bodega en arriendo,"$ 14,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,1 Habs. 4 Baños423 m²,https://cdn2.infocasas.com.uy/repo/img/66f6f045115a1_infocdn__hxiu3wy2a4iksoz0veecfa5oo6xl1d5f3904sui0jpg.jpg,[]
Oficina en arriendo,"$ 1,900,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Sonia Amparo Amaya,1 Ambiente 1 Baño50 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/2e2ac97d-9b42-40ce-9ae7-197ba5a804ba/photos/2e2ac97d-9b42-40ce-9ae7-197ba5a804ba_10_False_4e6b6e45-6976-4b5c-a787-2190293b0631.jpg,[]
Oficina en arriendo,"$ 3,729,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/b31c193e-05bd-4cd5-b27e-45b726914f1b/photos/b31c193e-05bd-4cd5-b27e-45b726914f1b_2_False_2f2e50fe-39c6-4f6c-8a6e-a0fb8a5c27b7.jpg,[]
Bodega en  Arriendo,"$ 11,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,8 Baños650 m²,https://cdn2.infocasas.com.uy/repo/img/66c65f123acfd_infocdn__uvekn0k27gbmhnsyaxlu0zabdtmjrbps6yq80a1ujpg,[]
Oficina en arriendo,"$ 5,659,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 2 Baños75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/87cf473c-6d98-4743-b143-24409da8f204/photos/87cf473c-6d98-4743-b143-24409da8f204_2_False_ca649804-5373-4c9e-a419-df8803a0dcc3.jpg,[]
Bodega en arriendo,"$ 9,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,L&V Inmobiliaria,1 Habs. 4 Baños480 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/4f9250c4-3393-408a-9705-af585e392c08/photos/4f9250c4-3393-408a-9705-af585e392c08_1_True_ca66cad8-7a26-4cb9-97cb-e9967d46fc45.jpg,[]
